state	name	lat	lon
AL	Autauga	32.532237	-86.64644
AL	Baldwin	30.659218	-87.746067
AL	Barbour	31.870253	-85.405104
AL	Bibb	33.015893	-87.127148
AL	Blount	33.977358	-86.56644
AL	Bullock	32.101759	-85.717261
AL	Butler	31.751667	-86.681969
AL	Calhoun	33.771706	-85.822513
AL	Chambers	32.915504	-85.394032
AL	Cherokee	34.069515	-85.654242
AL	Chilton	32.854051	-86.726607
AL	Choctaw	31.990997	-88.248908
AL	Clarke	31.685521	-87.818624
AL	Clay	33.2704	-85.863525
AL	Cleburne	33.671964	-85.516126
AL	Coffee	31.402258	-85.989602
AL	Colbert	34.703112	-87.801457
AL	Conecuh	31.430926	-86.988722
AL	Coosa	32.931445	-86.243482
AL	Covington	31.243987	-86.448721
AL	Crenshaw	31.732826	-86.319222
AL	Cullman	34.131923	-86.869267
AL	Dale	31.430654	-85.609476
AL	Dallas	32.33354	-87.114356
AL	DeKalb	34.460929	-85.803992
AL	Elmore	32.597229	-86.142735
AL	Escambia	31.122287	-87.16841
AL	Etowah	34.047641	-86.034263
AL	Fayette	33.716157	-87.764292
AL	Franklin	34.441989	-87.842814
AL	Geneva	31.092393	-85.821011
AL	Greene	32.844497	-87.9642
AL	Hale	32.752796	-87.623061
AL	Henry	31.516978	-85.239971
AL	Houston	31.158193	-85.296398
AL	Jackson	34.764114	-85.980056
AL	Jefferson	33.553444	-86.896536
AL	Lamar	33.787085	-88.087431
AL	Lauderdale	34.904122	-87.650997
AL	Lawrence	34.529776	-87.321865
AL	Lee	32.604064	-85.353048
AL	Limestone	34.810239	-86.981399
AL	Lowndes	32.147888	-86.650586
AL	Macon	32.387027	-85.692887
AL	Madison	34.764238	-86.55108
AL	Marengo	32.247591	-87.791091
AL	Marion	34.138219	-87.881551
AL	Marshall	34.309564	-86.321668
AL	Mobile	30.684572	-88.196568
AL	Monroe	31.580332	-87.383266
AL	Montgomery	32.202881	-86.204461
AL	Morgan	34.454484	-86.846402
AL	Perry	32.639005	-87.293827
AL	Pickens	33.296793	-88.096863
AL	Pike	31.798651	-85.941604
AL	Randolph	33.296475	-85.464068
AL	Russell	32.289811	-85.18698
AL	St. Clair	33.712963	-86.315663
AL	Shelby	33.263043	-86.678089
AL	Sumter	32.597481	-88.200057
AL	Talladega	33.369314	-86.17593
AL	Tallapoosa	32.863369	-85.799553
AL	Tuscaloosa	33.290242	-87.522735
AL	Walker	33.791558	-87.301094
AL	Washington	31.405217	-88.197564
AL	Wilcox	31.990085	-87.304907
AL	Winston	34.154607	-87.36529
AK	Aleutians East Borough	55.245044	-161.997477
AK	Aleutians West Census Area	51.959447	178.338813
AK	Anchorage Municipality	61.17425	-149.284329
AK	Bethel Census Area	60.929141	-160.152625
AK	Bristol Bay Borough	58.730158	-156.996632
AK	Denali Borough	63.681106	-150.026544
AK	Dillingham Census Area	60.29732	-158.094726
AK	Fairbanks North Star Borough	64.692317	-146.601733
AK	Haines Borough	59.098771	-135.576936
AK	Hoonah-Angoon Census Area	58.403336	-135.884909
AK	Juneau City and Borough	58.37291	-134.178445
AK	Kenai Peninsula Borough	60.366668	-152.322283
AK	Ketchikan Gateway Borough	55.449938	-131.106685
AK	Kodiak Island Borough	57.502015	-153.563512
AK	Kusilvak Census Area	62.28306	-163.190903
AK	Lake and Peninsula Borough	58.205065	-156.705188
AK	Matanuska-Susitna Borough	62.279075	-149.617562
AK	Nome Census Area	64.783686	-164.188912
AK	North Slope Borough	69.449343	-153.47283
AK	Northwest Arctic Borough	67.005066	-160.021086
AK	Petersburg Borough	57.112458	-133.008598
AK	Prince of Wales-Hyder Census Area	55.682773	-133.162389
AK	Sitka City and Borough	57.193204	-135.367396
AK	Skagway Municipality	59.575097	-135.335418
AK	Southeast Fairbanks Census Area	63.864997	-143.218628
AK	Valdez-Cordova Census Area	61.34984	-145.023141
AK	Wrangell City and Borough	56.180779	-132.026788
AK	Yakutat City and Borough	60.007062	-140.148108
AK	Yukon-Koyukuk Census Area	65.375716	-151.577878
AZ	Apache	35.385084	-109.490172
AZ	Cochise	31.840129	-109.775163
AZ	Coconino	35.829692	-111.773728
AZ	Gila	33.789618	-110.81187
AZ	Graham	32.931828	-109.87831
AZ	Greenlee	33.238872	-109.242323
AZ	La Paz	33.72761	-114.038806
AZ	Maricopa	33.346541	-112.495534
AZ	Mohave	35.717705	-113.749689
AZ	Navajo	35.390785	-110.321025
AZ	Pima	32.128523	-111.783027
AZ	Pinal	32.919038	-111.367005
AZ	Santa Cruz	31.525733	-110.845228
AZ	Yavapai	34.631212	-112.577385
AZ	Yuma	32.773942	-113.910905
AR	Arkansas	34.28957	-91.376547
AR	Ashley	33.190835	-91.772267
AR	Baxter	36.28071	-92.330438
AR	Benton	36.337825	-94.256187
AR	Boone	36.304308	-93.079204
AR	Bradley	33.466549	-92.169156
AR	Calhoun	33.56046	-92.513879
AR	Carroll	36.337774	-93.541663
AR	Chicot	33.267139	-91.297158
AR	Clark	34.053316	-93.176208
AR	Clay	36.367302	-90.418704
AR	Cleburne	35.566315	-92.05995
AR	Cleveland	33.893201	-92.188714
AR	Columbia	33.223038	-93.232843
AR	Conway	35.265702	-92.689248
AR	Craighead	35.827729	-90.631421
AR	Crawford	35.583041	-94.236224
AR	Crittenden	35.211878	-90.315331
AR	Cross	35.285692	-90.763984
AR	Dallas	33.967823	-92.653999
AR	Desha	33.828752	-91.244103
AR	Drew	33.587242	-91.722778
AR	Faulkner	35.146343	-92.324646
AR	Franklin	35.508558	-93.887665
AR	Fulton	36.383619	-91.819664
AR	Garland	34.578861	-93.146915
AR	Grant	34.285568	-92.422979
AR	Greene	36.120607	-90.566346
AR	Hempstead	33.728611	-93.665809
AR	Hot Spring	34.315177	-92.944147
AR	Howard	34.083064	-93.990931
AR	Independence	35.737499	-91.559942
AR	Izard	36.094879	-91.913625
AR	Jackson	35.596605	-91.223178
AR	Jefferson	34.277695	-91.930701
AR	Johnson	35.573359	-93.466322
AR	Lafayette	33.240629	-93.611514
AR	Lawrence	36.041098	-91.101153
AR	Lee	34.779858	-90.779345
AR	Lincoln	33.957675	-91.727626
AR	Little River	33.699497	-94.229774
AR	Logan	35.218654	-93.72091
AR	Lonoke	34.755114	-91.894132
AR	Madison	36.012545	-93.724053
AR	Marion	36.266672	-92.678567
AR	Miller	33.305505	-93.901502
AR	Mississippi	35.766943	-90.052209
AR	Monroe	34.679512	-91.20331
AR	Montgomery	34.545581	-93.66333
AR	Nevada	33.666699	-93.305072
AR	Newton	35.910742	-93.215899
AR	Ouachita	33.59116	-92.878415
AR	Perry	34.946363	-92.926877
AR	Phillips	34.423687	-90.855593
AR	Pike	34.158191	-93.658659
AR	Poinsett	35.56887	-90.681104
AR	Polk	34.490915	-94.230884
AR	Pope	35.456557	-93.026818
AR	Prairie	34.831116	-91.55362
AR	Pulaski	34.770311	-92.312996
AR	Randolph	36.341298	-91.028441
AR	St. Francis	35.014026	-90.742138
AR	Saline	34.648525	-92.674463
AR	Scott	34.858869	-94.063641
AR	Searcy	35.896387	-92.695888
AR	Sebastian	35.196981	-94.274989
AR	Sevier	33.994877	-94.243279
AR	Sharp	36.173399	-91.471069
AR	Stone	35.857031	-92.140573
AR	Union	33.168219	-92.598145
AR	Van Buren	35.582953	-92.515976
AR	Washington	35.971209	-94.218417
AR	White	35.255118	-91.753034
AR	Woodruff	35.192777	-91.244535
AR	Yell	34.997713	-93.408303
CA	Alameda	37.648327	-121.912928
CA	Alpine	38.621783	-119.798352
CA	Amador	38.44355	-120.653856
CA	Butte	39.665959	-121.601919
CA	Calaveras	38.1839	-120.561442
CA	Colusa	39.177739	-122.237563
CA	Contra Costa	37.919479	-121.951543
CA	Del Norte	41.749903	-123.980998
CA	El Dorado	38.785532	-120.534398
CA	Fresno	36.761006	-119.655019
CA	Glenn	39.602546	-122.4017
CA	Humboldt	40.706673	-123.925818
CA	Imperial	33.040814	-115.3554
CA	Inyo	36.561977	-117.403927
CA	Kern	35.346629	-118.729506
CA	Kings	36.072478	-119.81553
CA	Lake	39.094802	-122.746757
CA	Lassen	40.721086	-120.629952
CA	Los Angeles	34.196398	-118.261862
CA	Madera	37.209821	-119.749802
CA	Marin	38.051817	-122.745974
CA	Mariposa	37.570033	-119.91286
CA	Mendocino	39.432388	-123.442881
CA	Merced	37.194806	-120.722802
CA	Modoc	41.592918	-120.71837
CA	Mono	37.915836	-118.875167
CA	Monterey	36.240107	-121.315572
CA	Napa	38.5071	-122.325904
CA	Nevada	39.297508	-120.771343
CA	Orange	33.675687	-117.777207
CA	Placer	39.062032	-120.722718
CA	Plumas	39.992295	-120.824371
CA	Riverside	33.729828	-116.002239
CA	Sacramento	38.450011	-121.340441
CA	San Benito	36.610702	-121.085296
CA	San Bernardino	34.85722	-116.181197
CA	San Diego	33.023604	-116.776117
CA	San Francisco	37.727239	-123.032229
CA	San Joaquin	37.934982	-121.272244
CA	San Luis Obispo	35.385226	-120.447542
CA	San Mateo	37.414663	-122.371545
CA	Santa Barbara	34.537057	-120.039973
CA	Santa Clara	37.220777	-121.690622
CA	Santa Cruz	37.012488	-122.007205
CA	Shasta	40.760514	-122.043556
CA	Sierra	39.576925	-120.521993
CA	Siskiyou	41.587986	-122.533287
CA	Solano	38.267226	-121.939594
CA	Sonoma	38.525182	-122.92611
CA	Stanislaus	37.562384	-121.002656
CA	Sutter	39.03619	-121.70394
CA	Tehama	40.126156	-122.232276
CA	Trinity	40.647724	-123.114404
CA	Tulare	36.228824	-118.781061
CA	Tuolumne	38.021434	-119.964733
CA	Ventura	34.358741	-119.133143
CA	Yolo	38.679595	-121.902441
CA	Yuba	39.266247	-121.340781
CO	Adams	39.874325	-104.331872
CO	Alamosa	37.568442	-105.788041
CO	Arapahoe	39.644554	-104.331706
CO	Archuleta	37.202395	-107.050863
CO	Baca	37.306693	-102.537758
CO	Bent	37.931891	-103.077584
CO	Boulder	40.09497	-105.397691
CO	Broomfield	39.953302	-105.052038
CO	Chaffee	38.738224	-106.316685
CO	Cheyenne	38.835386	-102.604585
CO	Clear Creek	39.689403	-105.670783
CO	Conejos	37.213406	-106.176447
CO	Costilla	37.277547	-105.42894
CO	Crowley	38.30618	-103.772736
CO	Custer	38.101994	-105.373515
CO	Delta	38.861756	-107.864757
CO	Denver	39.76185	-104.881105
CO	Dolores	37.747602	-108.530383
CO	Douglas	39.325414	-104.925987
CO	Eagle	39.626992	-106.695169
CO	Elbert	39.310582	-104.117729
CO	El Paso	38.827383	-104.527472
CO	Fremont	38.45517	-105.424958
CO	Garfield	39.599352	-107.90978
CO	Gilpin	39.861156	-105.528878
CO	Grand	40.123205	-106.095935
CO	Gunnison	38.67264	-107.066506
CO	Hinsdale	37.821165	-107.338261
CO	Huerfano	37.687815	-104.959928
CO	Jackson	40.663432	-106.329248
CO	Jefferson	39.579511	-105.245462
CO	Kiowa	38.387663	-102.756849
CO	Kit Carson	39.30534	-102.603023
CO	Lake	39.205341	-106.350079
CO	La Plata	37.287367	-107.839718
CO	Larimer	40.658093	-105.486764
CO	Las Animas	37.318831	-104.04411
CO	Lincoln	38.99374	-103.507555
CO	Logan	40.728091	-103.090464
CO	Mesa	39.019492	-108.461837
CO	Mineral	37.651483	-106.932303
CO	Moffat	40.616358	-108.211099
CO	Montezuma	37.338025	-108.595786
CO	Montrose	38.407507	-108.266282
CO	Morgan	40.263167	-103.812285
CO	Otero	37.88417	-103.72126
CO	Ouray	38.1506	-107.767133
CO	Park	39.118914	-105.717648
CO	Phillips	40.594712	-102.345105
CO	Pitkin	39.217332	-106.915783
CO	Prowers	37.958181	-102.392161
CO	Pueblo	38.170658	-104.489892
CO	Rio Blanco	39.972622	-108.200716
CO	Rio Grande	37.485853	-106.453128
CO	Routt	40.483664	-106.987702
CO	Saguache	38.031651	-106.234666
CO	San Juan	37.781074	-107.670257
CO	San Miguel	38.009374	-108.427326
CO	Sedgwick	40.871568	-102.355358
CO	Summit	39.621023	-106.137555
CO	Teller	38.871994	-105.182552
CO	Washington	39.96579	-103.209744
CO	Weld	40.553696	-104.394221
CO	Yuma	40.000631	-102.422649
CT	Fairfield	41.227413	-73.367061
CT	Hartford	41.806053	-72.732916
CT	Litchfield	41.791883	-73.235404
CT	Middlesex	41.433003	-72.52278
CT	New Haven	41.349717	-72.900204
CT	New London	41.472651	-72.108633
CT	Tolland	41.858081	-72.340978
CT	Windham	41.824999	-71.990702
DE	Kent	39.097088	-75.502982
DE	New Castle	39.575915	-75.644132
DE	Sussex	38.673227	-75.337024
DC	District of Columbia	38.904103	-77.017229
FL	Alachua	29.67574	-82.357221
FL	Baker	30.324442	-82.302284
FL	Bay	30.238117	-85.63143
FL	Bradford	29.952386	-82.166599
FL	Brevard	28.298304	-80.700331
FL	Broward	26.193535	-80.476683
FL	Calhoun	30.388801	-85.197915
FL	Charlotte	26.868933	-81.941077
FL	Citrus	28.84364	-82.52481
FL	Clay	29.986584	-81.865036
FL	Collier	26.118786	-81.400955
FL	Columbia	30.221333	-82.623168
FL	DeSoto	27.190581	-81.806253
FL	Dixie	29.580899	-83.195666
FL	Duval	30.335245	-81.648113
FL	Escambia	30.611638	-87.3389
FL	Flagler	29.474912	-81.286305
FL	Franklin	29.810176	-84.799174
FL	Gadsden	30.578687	-84.612607
FL	Gilchrist	29.723456	-82.795801
FL	Glades	26.95481	-81.19082
FL	Gulf	29.907257	-85.256537
FL	Hamilton	30.491226	-82.951069
FL	Hardee	27.492846	-81.82158
FL	Hendry	26.539967	-81.152114
FL	Hernando	28.573043	-82.466227
FL	Highlands	27.342627	-81.340921
FL	Hillsborough	27.906607	-82.349719
FL	Holmes	30.866222	-85.812959
FL	Indian River	27.700645	-80.574794
FL	Jackson	30.78925	-85.208813
FL	Jefferson	30.424558	-83.890859
FL	Lafayette	29.990066	-83.17851
FL	Lake	28.764113	-81.712282
FL	Lee	26.551634	-81.892509
FL	Leon	30.45931	-84.2778
FL	Levy	29.284457	-82.783462
FL	Liberty	30.259849	-84.86858
FL	Madison	30.447233	-83.470416
FL	Manatee	27.481682	-82.368767
FL	Marion	29.202805	-82.0431
FL	Martin	27.083604	-80.398201
FL	Miami-Dade	25.61058	-80.499137
FL	Monroe	25.615457	-81.189971
FL	Nassau	30.605926	-81.764929
FL	Okaloosa	30.665851	-86.594187
FL	Okeechobee	27.385592	-80.887388
FL	Orange	28.514435	-81.323295
FL	Osceola	28.059027	-81.139312
FL	Palm Beach	26.649124	-80.448374
FL	Pasco	28.307465	-82.464584
FL	Pinellas	27.903122	-82.739518
FL	Polk	27.953115	-81.692783
FL	Putnam	29.606006	-81.740894
FL	St. Johns	29.890644	-81.383948
FL	St. Lucie	27.379812	-80.443537
FL	Santa Rosa	30.701838	-87.012762
