tract,_lat,_lon
01001020100,32.4819591,-86.4913377
01001020200,32.475758,-86.4724678
01001020300,32.4740243,-86.4597033
01001020400,32.4710304,-86.4448353
01001020500,32.4589157,-86.4218165
01001020600,32.4473674,-86.4768327
01001020700,32.4303487,-86.4369714
01001020801,32.4180838,-86.527137
01001020802,32.5466429,-86.5312317
01001020900,32.6370123,-86.5149469
01001021000,32.6061376,-86.7489849
01001021100,32.4574129,-86.7290029
01003010100,31.1104762,-87.7868713
01003010200,30.9478929,-87.6787306
01003010300,30.8244356,-87.8710563
01003010400,30.7200267,-87.6245437
01003010500,30.8969612,-87.7737368
01003010600,30.8531544,-87.7701913
01003010701,30.7174494,-87.9529225
01003010703,30.6478335,-87.8437739
01003010704,30.6477601,-87.8838007
01003010705,30.6604947,-87.9557115
01003010800,30.5939161,-87.9006394
01003010903,30.6114771,-87.7725676
01003010904,30.5640707,-87.5731188
01003010905,30.5345606,-87.7548736
01003010906,30.5641292,-87.6870074
01003011000,30.4896994,-87.6767299
01003011101,30.5190072,-87.8386361
01003011102,30.4799296,-87.8330813
01003011201,30.5408065,-87.891618
01003011202,30.5055705,-87.9100953
01003011300,30.4293701,-87.8782358
01003011401,30.3802759,-87.7703177
01003011403,30.3194974,-87.6627032
01003011405,30.3005856,-87.5417985
01003011406,30.2696285,-87.637277
01003011407,30.2501508,-87.778234
01003011408,30.2375544,-87.9238804
01003011501,30.4324484,-87.6790139
01003011502,30.3818635,-87.6623712
01003011601,30.4082096,-87.5555847
01003011602,30.4109986,-87.4555893
01003990000,30.3288028,-87.8829748
01005950100,32.0353533,-85.2477678
01005950200,31.9222753,-85.4498309
01005950300,31.7908933,-85.5670514
01005950400,31.6794432,-85.5577196
01005950500,31.7634183,-85.2718649
01005950600,31.8783526,-85.2729215
01005950700,31.9440855,-85.2620842
01005950800,31.92041,-85.1757409
01005950900,31.8559766,-85.1513159
01007010001,33.0791483,-87.1730915
01007010002,33.1824189,-87.0823493
01007010003,32.9533249,-87.0043466
01007010004,32.9480029,-87.2803484
01009050101,33.8723927,-86.4590322
01009050102,33.9543002,-86.4647758
01009050200,33.9974352,-86.544238
01009050300,34.076531,-86.3904992
01009050400,34.1660342,-86.4971736
01009050500,34.0336235,-86.6373178
01009050601,33.8702666,-86.8934341
01009050602,33.9036637,-86.7813122
01009050700,33.8405764,-86.6350183
01011952100,32.1157274,-85.5267341
01011952200,32.1567,-85.701528
01011952500,32.0821273,-85.8274935
01013952700,31.8946556,-86.5914052
01013952800,31.8377093,-86.6283263
01013952900,31.8483356,-86.6763257
01013953000,31.8617983,-86.7608112
01013953100,31.7968287,-86.6541421
01013953200,31.7820079,-86.5213679
01013953300,31.7163243,-86.7533225
01013953400,31.6017378,-86.8165798
01013953500,31.575083,-86.6086952
01015000200,33.6737791,-85.8165719
01015000300,33.6759496,-85.8313606
01015000400,33.6821954,-85.8690969
01015000500,33.6626267,-85.8451981
01015000600,33.6421021,-85.8410233
01015000700,33.7077552,-85.7919275
01015000800,33.6454724,-85.8270604
01015000900,33.6448084,-85.796557
01015001000,33.6345617,-85.7901308
01015001100,33.5900442,-85.788631
01015001201,33.6094979,-85.8477704
01015001202,33.6111325,-85.8764727
01015001300,33.6445961,-85.8731746
01015001400,33.6599004,-85.8895413
